;Parametros;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
0;SVDD_RBF_0.001_scale;0.5790107956287818;0.011707087907551691;0.1215797241044474;0.004234001170980713;0.20093460709286956;0.006144011186303785;0.5727474914040817;0.004810023592847692;0.5420262198431024;0.002318137720041836;33.73271398544311;0.797581970027989
1;SVDD_RBF_0.01_scale;0.5783742515206789;0.011494894503384392;0.16898259343497574;0.008595101134824252;0.2614106142856486;0.01025252824854752;0.5732165253526958;0.004928888854024466;0.5479505894723347;0.002973742799069184;42.94964640140533;1.4617455899374288
2;SVDD_RBF_0.05_scale;0.5780692606822013;0.011267646894454706;0.1701869548112765;0.009007279973076342;0.2628122371513669;0.010733547233216146;0.5731108231086592;0.004901424292427962;0.5480383536796352;0.002987957771108416;43.44920377731322;1.1542785206045267
3;SVDD_RBF_0.1_scale;0.5781225049822906;0.011464394473604934;0.17009431456227292;0.008990744579329355;0.262707535894516;0.01072914664620016;0.5731180054547866;0.004917331604958732;0.548038355819234;0.0030408746313064987;43.583780694007864;1.2210296168003416
4;SVDD_RBF_0.2_scale;0.5781246376789815;0.011535217435110209;0.17009431456227292;0.008990744579329355;0.2627076350288994;0.010731015442216276;0.5731121951731073;0.00491230045023354;0.548038355819234;0.0030563171704686555;43.6241383075714;1.1268479795964008
5;SVDD_RBF_0.3_scale;0.5780601414402343;0.011520132228043321;0.17009431456227292;0.008990744579329355;0.2627015277778642;0.010736680118679495;0.5731199029621954;0.004912651501366405;0.5480237273815511;0.003058305119446287;43.62697126865387;1.0805858024404915
6;SVDD_RBF_0.4_scale;0.5780551144021575;0.011493147822870751;0.17009431456227292;0.008964184300723118;0.2627025221541702;0.010713240552852743;0.5730974572477557;0.0049350704949067715;0.5480237231023534;0.003061731589336324;43.528708267211904;1.0896167790162472
7;SVDD_RBF_0.5_scale;0.5782213866255292;0.01155990158575474;0.16892078877317654;0.008834062596430176;0.2613150973350243;0.010545676676337216;0.572870917247444;0.005091584442555988;0.5479066870424949;0.0030215947770047056;43.612455129623406;1.1519104116821222
8;SVDD_RBF_0.6_scale;0.5777443532161791;0.011475189642884676;0.16262097533133954;0.008597912042345545;0.2536678515502509;0.010510300555251477;0.572041833592107;0.005113625222192112;0.5469997495813448;0.002938949708374497;43.852024507522586;1.1546528098062685
9;SVDD_RBF_0.7_scale;0.5774871381722648;0.010276398664202295;0.14588330608601432;0.00979653761881564;0.23273454137815114;0.012342484451900195;0.5705904951057372;0.004885421884861207;0.5448055866296635;0.002366082017503675;43.924624633789065;0.9623976452779456
10;SVDD_RBF_0.8_scale;0.5789811863050284;0.013726441485655666;0.11475500010392947;0.01060098585642263;0.1912712776731064;0.014370576797815534;0.5683545353342474;0.0046703870841060405;0.5410315395706407;0.002174629940788034;44.49866569042206;1.1124493862677602
11;SVDD_RBF_0.9_scale;0.5898744884534229;0.019057021322999426;0.06651844481087793;0.011774918366261362;0.11915933425733576;0.018526359486199;0.5651321248942509;0.004629336278757024;0.535750842595443;0.0017230634097315039;46.12185034751892;1.3833752751284625
SVDD_RBF_0.0001_scale_;0.0;0.0;0.0;0.0;0.0;0.0;0.5646294176688464;0.017462688469287273;0.5263157912754517;3.079310737632568e-05;3.954261541366577;0.17097350469576794
SVDD_RBF_0.0005_scale_;0.6223378705466245;0.03313127725220942;0.017355305866332212;0.0028195475685724295;0.033744681451594136;0.005351431385153729;0.5786347531720878;0.009291167733178934;0.5295193271252443;0.0009436902004049589;35.683485984802246;10.992493866089832
SVDD_RBF_0.005_scale_;0.5800749488266396;0.011237366556121845;0.16743853525430588;0.008086548111409237;0.25974097140509417;0.009680203741033315;0.5735004212265998;0.004846544562980519;0.5481553875998947;0.0028481479740218993;55.981746554374695;13.768129426386016
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5366090285540233;0.03632680817557819;0.5263157912754517;3.079310737632568e-05;0.3793780326843262;0.007598357774145521
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5366090285540233;0.03632680817557819;0.5263157912754517;3.079310737632568e-05;0.3808474063873291;0.006897887521760124
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.0;0.0;0.0;0.5366090285540233;0.03632680817557819;0.5263157912754517;3.079310737632568e-05;0.3701602935791016;0.008080927098113705
SVDD_RBF_0.005_auto_;0.2;0.4000000000000001;6.176652254478074e-05;0.00012353304508956148;0.0001234949058351343;0.0002469898116702686;0.5330178841981823;0.03394243319171269;0.5263450481508174;7.261531925963427e-05;0.49019978046417234;0.01418072694754627
SVDD_RBF_0.01_auto_;0.3;0.45825756949558394;9.26497838171711e-05;0.00014152488248782706;0.0001852423587527015;0.00028296237696547337;0.5379712832039889;0.025111565848085198;0.5263596765885004;8.242205765873475e-05;0.7280850887298584;0.018982041906795435
SVDD_RBF_0.05_auto_;0.5265960488365085;0.2278795241860335;0.3351451417931667;0.2318699598585253;0.34626767601837194;0.22811033158468236;0.5570155107447318;0.025456845593710642;0.537535800838603;0.016491055551697772;4.46346116065979;1.4982726154307975
SVDD_RBF_0.1_auto_;0.5206580279007877;0.03915774455040492;0.49486984121293504;0.32689649032944196;0.42792712844820346;0.21584512526538083;0.5584899142526198;0.016242582360605735;0.5269447456286497;0.018478200998482387;9.924310803413391;0.7116681972144167
SVDD_RBF_0.2_auto_;0.5350627095377466;0.05268696194825059;0.4793313273356813;0.3363677066514924;0.4194533507806568;0.20293334363085422;0.5563517859617867;0.013411177211252047;0.5275149637128305;0.01597559028942841;11.121055936813354;4.2393912148381
SVDD_RBF_0.3_auto_;0.541519351644155;0.04438919404084398;0.3780405710132894;0.26211466106342823;0.384238579799241;0.17301817764751967;0.5586725464627726;0.012683334855824636;0.5360142464764871;0.011199128731401824;14.210609030723571;2.036668867842965
SVDD_RBF_0.4_auto_;0.5023348471740705;0.014539209072124124;0.7203466057303085;0.19396651051303462;0.5762910198999733;0.0773244313897295;0.5599203018119605;0.009105297687374099;0.5241506605412517;0.013237109110286785;25.45243728160858;9.252112887893224
