Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.9118362001439261;0.02259489623375279;0.054629629629629625;0.008878466111543545;0.10294280293274745;0.01591572184083268;0.7171140740740741;0.01363702252465348;0.5497017543859648;0.003961223248893916;0.048021984100341794;0.0004665474615720451
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.8419547617994256;0.02239309013096693;0.22192592592592594;0.02313543354515664;0.3506811625605832;0.029533872184749003;0.7246115802469136;0.015119789412510881;0.6117017543859651;0.010475623553150992;0.08596568107604981;0.004701073868644653
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.8351375143525125;0.02105962592076908;0.23974074074074073;0.02624724167361688;0.3718658814517964;0.03235662754094076;0.7264622098765432;0.01594938156303898;0.6175087719298245;0.01189385702899452;0.1011732578277588;0.004918439868564303
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.835306668062158;0.01904279088671008;0.24385185185185185;0.02540114381274758;0.3768831469627206;0.03102934822083793;0.7273022345679012;0.015180243364643914;0.6191052631578946;0.011450765779389643;0.1082932710647583;0.005041785528357615
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.8348493699686559;0.01910032128017292;0.24374074074074073;0.02591134510620048;0.3766869650132715;0.03171627085453509;0.7273257037037036;0.01526464211270075;0.619;0.011741299339840972;0.11075873374938965;0.005495332697946094
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.8348064194333709;0.01925596659543073;0.24392592592592593;0.025779586994832605;0.37690282784407036;0.031485096552862586;0.7273060617283951;0.015223813271355803;0.6190526315789473;0.01162383643240054;0.11131644248962402;0.005784077703154348
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.8351324683176415;0.01878780284959351;0.2438148148148148;0.025974055853936816;0.3767954010241271;0.03173755236814911;0.7272685308641975;0.015240951914137359;0.6190701754385964;0.01168638355010426;0.11124699115753174;0.00458643668072228
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.8468827404980696;0.019943254826438484;0.23144444444444448;0.026275134938747374;0.3627724702552769;0.03265171611568885;0.7287146296296296;0.014754877419595035;0.6161052631578947;0.011238974967746774;0.11615862846374511;0.0053939801528309255
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.867339798390298;0.019479401278544552;0.2051111111111111;0.028182629951822663;0.3308057863295205;0.03681377643995386;0.7322165679012347;0.01420942030982367;0.608578947368421;0.011928650613033744;0.1311412811279297;0.0054974762015114155
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.8901620146032527;0.011481952987548385;0.17225925925925925;0.029633541408445187;0.28756925370189323;0.04129444192272172;0.7370324197530864;0.012890732090686993;0.5978947368421054;0.012841817655680786;0.14424562454223633;0.0052438254775721204
