Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.1;0.30000000000000004;0.00021299254526091588;0.0006389776357827477;0.00042507970244420824;0.0012752391073326248;0.7907264019898853;0.07207117619692309;0.5206165161317207;0.00037853478585215633;0.027599501609802245;0.01968148622794615
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.7850723572205023;0.04061055369482505;0.6613523893684998;0.051178314302414915;0.7161648534575951;0.031218643462368804;0.8508069185256865;0.028778491224675774;0.7493893958808637;0.02583581774802532;0.03564612865447998;0.012414056757107068
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.7654668145652003;0.03292921629338101;0.7397861011034826;0.03212300676355921;0.7517554415155738;0.023772553473655016;0.852758619778095;0.028679391692469417;0.7657179579335562;0.023804647598736357;0.07789490222930909;0.021506092665912906
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.7548655976976637;0.0314098146582014;0.7800207327849908;0.027078883835880342;0.7666475245681047;0.02016668138320073;0.853153362185515;0.02869391324252802;0.7721480659645176;0.02238313689111339;0.029614996910095216;0.011811091608062235
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.7567600751798733;0.031976447019080055;0.7807658668116828;0.026976656946261057;0.7679923195514422;0.020625898947382107;0.8538289796262012;0.02849422124057832;0.7736278661541186;0.0227795198572478;0.03139529228210449;0.0019527034763331414
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.7565751505982844;0.031967449799140464;0.7801270024698072;0.02635071262480313;0.7675745079653465;0.020011360827727045;0.8538749615133934;0.028443829098093894;0.7732705409882176;0.02235946090541723;0.044919371604919434;0.021148767331602755
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.7564367915957791;0.031790936745379035;0.7803399950150681;0.026443791303642345;0.7676174476673039;0.020138203291195544;0.8538353363029666;0.02846753002046759;0.7732706191205425;0.022388819006152264;0.02588183879852295;0.006452897268632039
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.7689700486291386;0.03056001568783518;0.7565025037953458;0.03749425961989511;0.7619776936629241;0.02446101709384663;0.8572669789802039;0.02596617386047359;0.7735767676136304;0.023057376498695704;0.05230913162231445;0.018250100637213888
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.7838302627081595;0.028588513041953884;0.7151013980468129;0.05650445335954314;0.7465478280989803;0.03323677480368707;0.8599002722608088;0.023434642744236647;0.7683204675438322;0.025069905088835893;0.02604684829711914;0.005431533638379114
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.7981941766390448;0.030616970737711413;0.6529532322751683;0.06334536180041318;0.7163516000458835;0.040303660344869645;0.8598277389468464;0.021479536091756492;0.753879686637289;0.026071370199031708;0.07853219509124756;0.01632223580010084
SVDD_RBF_0.5_scale_5_[384, 256, 128];0.8236654987902237;0.026226353500509614;0.5783514603584619;0.07639931043333797;0.6764159637508693;0.05700657648100459;0.8619755866069718;0.019088062358886257;0.7382143378025023;0.03095641829658977;0.07217950820922851;0.024651398758768584
SVDD_RBF_0.6_scale_5_[384, 256, 128];0.84158800104398;0.026967313590299524;0.5037413046926336;0.08000576569212452;0.6265061250512274;0.06680181273139427;0.8642672007919023;0.01765824376085654;0.7165772572428665;0.03386422292628173;0.10928034782409668;0.054326436094431614
SVDD_RBF_0.7_scale_5_[384, 256, 128];0.8518362229544462;0.03207643120286723;0.4133745723155009;0.08450522979486527;0.5517570353519684;0.08196107449883705;0.8637225357797709;0.016491025199766005;0.6844773728787075;0.03743447575159106;0.06965765953063965;0.03740878920507927
SVDD_RBF_0.8_scale_5_[384, 256, 128];0.8688966356928198;0.031289565782256674;0.30512677588199305;0.08599368801574979;0.4448019896470929;0.09395720656604324;0.8643331232953153;0.017212527734181717;0.6445693867133377;0.036291933483534565;0.08426995277404785;0.0403753933952295
SVDD_RBF_0.9_scale_5_[384, 256, 128];0.8833774343676927;0.02488448060595495;0.18890002945641585;0.08223398230088405;0.3029708943621197;0.11364944256582771;0.86487909851816;0.016416187907443612;0.5994570063860154;0.03561952443919235;0.09300358295440674;0.05123073847781223
SVDD_RBF_0.0001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.8143389403820803;0.04078063665671204;0.5205144232271776;0.00013014134333630642;0.026161980628967286;0.00686024606558563
SVDD_RBF_0.0005_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.8143389403820803;0.04078063665671204;0.5205144232271776;0.00013014134333630642;0.034660863876342776;0.029332493796805584
SVDD_RBF_0.001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.8143389403820803;0.04078063665671204;0.5205144232271776;0.00013014134333630642;0.02490100860595703;0.007814946504164384
SVDD_RBF_0.005_auto_5_[384, 256, 128];0.6622586206896551;0.4371566221696495;0.00851494346634038;0.009006741810315449;0.016692032787942408;0.017499287458780655;0.8050191988743473;0.06074632953082851;0.5241887520705066;0.003703325922873736;0.027489733695983887;0.009445096344304203
SVDD_RBF_0.01_auto_5_[384, 256, 128];0.82280014596598;0.17116261876345287;0.2404788933451159;0.23721307028941896;0.3051144503309194;0.2882861917056689;0.8022809236830029;0.07273053886878716;0.6081436540925711;0.08473233280432928;0.03468148708343506;0.012792541178814792
SVDD_RBF_0.05_auto_5_[384, 256, 128];0.7269459036764793;0.03453943094998929;0.8271627806856546;0.04089410723280259;0.7726460265899473;0.02235770626669647;0.844907763653804;0.03191934261863699;0.7665345709493598;0.025491207962875646;0.017593073844909667;0.0033460492359389817
