;Parametros;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
0;SVDD_RBF_0.001_scale;0.2525213147146214;0.005914133945233574;0.7696406745686268;0.05011919123360571;0.3797293656454399;0.0039586915202123145;0.5774722229459278;0.011808866540892452;0.4353735817980725;0.035804470032169376;0.07067818641662597;0.013827094558885842
1;SVDD_RBF_0.01_scale;0.2519140264305637;0.00583558766839759;0.7777207190755471;0.049139417344073434;0.38004709273225773;0.0039094806096682975;0.5785880671927472;0.011287276295991995;0.4301779922034239;0.035556379611954916;0.07253849506378174;0.005833343605605485
2;SVDD_RBF_0.05_scale;0.25187279704212395;0.0059295781363958855;0.7774600478194582;0.04922807847072404;0.3799613052199852;0.0038776353846852827;0.5786119869096987;0.011316146808308863;0.4301487139145304;0.03582862676381978;0.07143177986145019;0.004823161690661228
3;SVDD_RBF_0.1_scale;0.25223909803983713;0.0061215529325225615;0.7779816026738127;0.0499069783488694;0.3804146240548215;0.003650697707563935;0.5789395743679384;0.011033012278539887;0.4308365716246169;0.03667905927221341;0.07074670791625977;0.004132240732410571
4;SVDD_RBF_0.2_scale;0.2577790366750119;0.004634589112503083;0.7423332583057642;0.03635505880991307;0.38234443206098;0.002393849456040421;0.5867270942962998;0.0070112677508771615;0.4613967924464927;0.0253470332852394;0.07646424770355224;0.003876340395905588
5;SVDD_RBF_0.3_scale;0.2686443138991869;0.004261346761621842;0.654945364357941;0.05055209096936406;0.3804031561230293;0.007599550492594397;0.5926044755452763;0.007644872592700372;0.5215651134750047;0.025302744354031816;0.08942842483520508;0.0038743169754909173
6;SVDD_RBF_0.4_scale;0.2833818574456718;0.006435043080595988;0.5582987994173331;0.04769361061896084;0.3750344240131054;0.007973875040151153;0.5974784501988923;0.005907880647323003;0.5828754612808552;0.024401640568419137;0.09987659454345704;0.004158044172739608
7;SVDD_RBF_0.5_scale;0.3005864053858995;0.01370850537031438;0.4784654880260247;0.0474225120389592;0.3675044745436818;0.008447069314759307;0.5987267898317664;0.005185668550697427;0.6308084629249636;0.028259127177885368;0.11237692832946776;0.0049302837719886325
8;SVDD_RBF_0.6_scale;0.3154784663959597;0.013762889969757169;0.3917257473382908;0.04740770120250778;0.3473312311406261;0.013689111016002184;0.5996574574962825;0.005181377544153398;0.6708234161019793;0.023091645194413254;0.12354609966278075;0.006694706552543147
9;SVDD_RBF_0.7_scale;0.3414958529186753;0.01420183218249657;0.29273399046158943;0.04500526387437963;0.3123278834878204;0.021711872636313044;0.5992346607598701;0.0037726743545688094;0.7129747825420855;0.016364165102263302;0.13585519790649414;0.0030409842943582323
10;SVDD_RBF_0.8_scale;0.3670991123157359;0.019306105889195426;0.19289605001082946;0.03825916632426519;0.24973922207625185;0.030043861199812782;0.5986794070096944;0.0036439681637585658;0.7429199622235527;0.011146601761241628;0.1493525266647339;0.004416706809082998
11;SVDD_RBF_0.9_scale;0.4194110428724624;0.03443808086682805;0.1000297279047348;0.037468821141029264;0.1567455484494419;0.049543801930988084;0.5983445740820821;0.002882701765288757;0.7654300288310174;0.007390539545667786;0.16390321254730225;0.005056814410317104
SVDD_RBF_0.0001_scale_;0.2777023909052843;0.031198745098423103;0.3334793115017264;0.16750178810505933;0.2765656014312132;0.07708645806702723;0.5703997094264445;0.030292421793106258;0.6457936151395058;0.07459610196032462;0.1256417751312256;0.0371275772013672
SVDD_RBF_0.0005_scale_;0.2536314070930888;0.0063567960045354515;0.7589520488896626;0.052942674872220555;0.3795833785293411;0.004045020321611955;0.5771842613594661;0.01138265844530046;0.44289675680186835;0.037318389841658174;0.10740351676940918;0.0365138446600289
SVDD_RBF_0.005_scale_;0.2520805801629108;0.006161896625841438;0.7771992916264987;0.04887897432731498;0.3801643740388233;0.00409304403049856;0.5788445365506625;0.011702177143777187;0.43079267775442975;0.036069930251680586;0.14546048641204834;0.04197603867429824
SVDD_RBF_0.0001_auto_;0.046784159343454056;0.09358532513494341;0.1398359444342992;0.2960941697744574;0.06890577918048288;0.1386109816553337;0.5609172967926772;0.041972514257520806;0.704633736917309;0.14843169880618393;0.06218101978302002;0.03204408155242299
SVDD_RBF_0.0005_auto_;0.2408060621076482;0.011054373711682932;0.8290712577876492;0.21665140169825553;0.3636580564406684;0.02907797892021648;0.552529190047372;0.019520394690983826;0.3645657280877242;0.12598321690933195;0.04553465843200684;0.004888692936106213
SVDD_RBF_0.001_auto_;0.23580357702671298;0.004201387014647029;0.9350282627437156;0.029883562252017243;0.37648623802639036;0.0035172147871852574;0.5518267887718992;0.018706048666688613;0.30411987809881175;0.0301758241001104;0.05844008922576904;0.02361293021524882
SVDD_RBF_0.005_auto_;0.23481676908457594;0.00413250384873989;0.9487121446984528;0.023654660955504427;0.37635359185474726;0.003742179050162019;0.5487499322833664;0.018165244293984608;0.2935237658819937;0.027354901276525973;0.04997284412384033;0.011157914064658724
SVDD_RBF_0.01_auto_;0.2343947213641786;0.003795220395112946;0.95144961757174;0.02258567548350052;0.37603784208319824;0.0034144319583497974;0.5489556230197138;0.017814423290087558;0.290581841942824;0.02567550880859896;0.10270977020263672;0.028280866273416118
SVDD_RBF_0.05_auto_;0.23641780027730547;0.003730037258033509;0.9302053773532821;0.022909922803776347;0.3769245754857798;0.003493830128400747;0.5555126067999187;0.011667515025800605;0.30908160768223913;0.024230339068703033;0.0628431797027588;0.033381263451186395
SVDD_RBF_0.1_auto_;0.24112870729024077;0.003535731856647605;0.8787888426926687;0.03126597893010468;0.3782653777998356;0.0020854150483558703;0.5663429234434983;0.010365943350783325;0.35108650984631334;0.025831749751186024;0.10842952728271485;0.03162357551197942
SVDD_RBF_0.2_auto_;0.2519885977816527;0.00748815250977571;0.7864506155799702;0.06180242342334543;0.38083572974268665;0.002706996065735464;0.5752641559603445;0.008631423046550308;0.42558283030999505;0.046382462459378535;0.12361636161804199;0.06980310910696524
SVDD_RBF_0.3_auto_;0.2635825646606843;0.005604326052805705;0.7069455002569341;0.05518180777703152;0.38320518603563947;0.004439928917328006;0.584752921897689;0.006132830521518759;0.4894249018316196;0.033028663540102504;0.14171261787414552;0.033748384184648816
SVDD_RBF_0.4_auto_;0.27396725876531586;0.00683777545996692;0.6044365075657517;0.06578983072619951;0.37565620583815085;0.009592041848522746;0.5896055503910743;0.005541482303535778;0.5501493946754471;0.03351646791456666;0.20519936084747314;0.05977757789332361
SVDD_RBF_0.5_auto_;0.28685024145045396;0.00817380615461787;0.4956750994823098;0.06035375252521176;0.3615735276153667;0.01426994240420114;0.5938889732272361;0.004850246798636751;0.6087807683370172;0.027683942898342955;0.21050760746002198;0.07595612073452049
SVDD_RBF_0.6_auto_;0.3029386608849287;0.014360363728818744;0.39088249408627035;0.05554336788928843;0.3384677510382712;0.01748037686392285;0.5970697528307085;0.0049531212112530094;0.6591433838435942;0.026809809065715194;0.25005977153778075;0.08226288824703701
SVDD_RBF_0.7_auto_;0.31575136645841273;0.016739279648459216;0.30570886188840146;0.05366494112189063;0.3063352336310961;0.027144053200987155;0.5985304560989235;0.0039638675345926785;0.6929668678931388;0.02243327432840879;0.32445337772369387;0.13874728144126186
SVDD_RBF_0.8_auto_;0.3363286862612783;0.016913387495761226;0.20371675252368676;0.04284417966188928;0.2500119749859605;0.0318284858889439;0.5994223412083359;0.0032875000200209095;0.7295862378846835;0.014249138442614868;0.3862558126449585;0.09856517598632088
SVDD_RBF_0.9_auto_;0.3672678440623528;0.015317817461785994;0.09885806624226542;0.037906366366898314;0.15155200697163798;0.04803456961728956;0.6003035307809849;0.002883759465037636;0.7589901826478541;0.007342006853631332;0.39561076164245607;0.12945979933373172
SVDD_linear_0.0001_scale_;0.2341310885790228;0.004072860657496427;0.9487769939992102;0.028155424481077936;0.3754552890161703;0.003518980063977241;0.5488948271539572;0.018104180428632002;0.2907868777913768;0.02929565482346692;0.03949308395385742;0.002745273383047885
SVDD_linear_0.0005_scale_;0.2338473438382714;0.0037173839768792306;0.9541211369649509;0.02230884872193773;0.37554372010614895;0.003359708780596334;0.5482111893678738;0.01816376611203741;0.2870985652695916;0.025405338523321545;0.052011299133300784;0.01840413159201611
SVDD_linear_0.001_scale_;0.23375457354308743;0.0036418030450293157;0.954838004153413;0.021961080217145827;0.3754837267593109;0.0033483895061737455;0.548244172849315;0.018139337148560718;0.28639602771506645;0.024808505127880395;0.07236073017120362;0.01769878838703829
SVDD_linear_0.005_scale_;0.2337581883713417;0.0036550636868661916;0.9547728151051731;0.021975038792190437;0.3754829134030791;0.003357347534238525;0.5482455561676151;0.01819116582729422;0.28643993229577774;0.024877844660400224;0.04069607257843018;0.002267462593364762
SVDD_linear_0.01_scale_;0.2337581883713417;0.0036550636868661916;0.9547728151051731;0.021975038792190437;0.3754829134030791;0.003357347534238525;0.5482494198333182;0.018189991098847013;0.28643993229577774;0.024877844660400224;0.05043685436248779;0.0163175507964677
SVDD_linear_0.05_scale_;0.23649354345172485;0.0035935673931638706;0.9313784404741176;0.020677832515992468;0.37712937866854845;0.0033753496406683497;0.5548434110713953;0.012084504015284018;0.3088181073664072;0.0230129815509533;0.07100002765655518;0.016280103504790318
SVDD_linear_0.1_scale_;0.241116098895313;0.003155652033253614;0.8795057948180016;0.031441827966058815;0.37832561593965325;0.0018806868052287896;0.5661066305281925;0.010515745475750696;0.35077916921291524;0.024582776871543758;0.052913665771484375;0.01625605614195651
SVDD_linear_0.2_scale_;0.2517742664322261;0.007579795610907552;0.7869066841070375;0.0630373228045245;0.38061241400846646;0.0024883303736445515;0.5749243160058093;0.008748060175527957;0.4247046273063185;0.047301326270521075;0.0748067855834961;0.017997161045229342
SVDD_linear_0.3_scale_;0.2632986634531638;0.0055340728013202455;0.7070109016473506;0.054212214042601785;0.3829445046948793;0.004486121354632388;0.5842879625579933;0.006107839940665053;0.48879551929933635;0.032437032960927724;0.0806668758392334;0.034829164933876305
SVDD_linear_0.4_scale_;0.27421418527670516;0.006833687534360507;0.6073041461933418;0.06678476338518863;0.3764286698818117;0.009948294709501154;0.5892908101796074;0.005488146277424709;0.5495492882899526;0.033694446792861175;0.11237142086029053;0.02639446478227287
SVDD_linear_0.5_scale_;0.2867671885948552;0.008927359474065867;0.4957401611252436;0.059780813965742335;0.3614606090409682;0.013660728824913692;0.593605474241274;0.004823267148577627;0.6084587371486563;0.028408255509243887;0.11330900192260743;0.035954104508791676
SVDD_linear_0.6_scale_;0.3023632965508597;0.013783356548538843;0.3912734585019684;0.05554885748690352;0.3383270113254023;0.017812412157886166;0.5968291619943171;0.00493385850497699;0.6586165095961156;0.02630056316991992;0.1457298994064331;0.054269066758634465
SVDD_linear_0.7_scale_;0.3148654173775583;0.01628099822763779;0.3032973767247494;0.05367590035286103;0.30466734063144657;0.02740145845377766;0.598375527270915;0.0040512203545573005;0.6930400379101145;0.022462694888755203;0.1474137783050537;0.028690321771974368
SVDD_linear_0.8_scale_;0.3342969310378307;0.016835503533376147;0.20410805668686746;0.042982566245259014;0.24969140443106613;0.03173440474828692;0.5993006930366087;0.003321407728048229;0.7286349012798133;0.014498405809162047;0.17115604877471924;0.07637203129912912
SVDD_linear_0.9_scale_;0.3681665671067764;0.016577973142949815;0.09859743745461187;0.036753396885408296;0.15160330705532396;0.046740315367453725;0.6002326171832507;0.0029101304758856225;0.7592536165584362;0.00697452009737074;0.18451075553894042;0.06278828081031622
