Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.48401661206662644;0.003897203840010518;0.9354581601890638;0.02232012973666598;0.6378088004653123;0.0029891335172697367;0.5528648351578562;0.014830346806770435;0.4968402638793;0.007750552790178502;0.0620558500289917;0.006004670483355904
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.48115491077571015;0.002146248300574411;0.9534311503504712;0.015227279447427765;0.6395049211987299;0.002993329197752863;0.5509836670223394;0.012887951174761462;0.49088665235189416;0.004473060201994824;0.07092785835266113;0.005704002158825352
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.48125400943442764;0.002148581256523155;0.9542340579346715;0.01494282574599538;0.6397736288139987;0.002827531326007948;0.5509763215614687;0.013094894191965998;0.49104755660801;0.0044972562270042945;0.07351605892181397;0.006814002301702938
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.48121416720999066;0.0021162919820449082;0.9543885028454744;0.01465669392269352;0.6397730695704611;0.0025518292414140713;0.5513448990538996;0.013206695716689814;0.49095980523830296;0.004473156677787289;0.07691550254821777;0.006846013032836549
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.4812208125161934;0.002065440440991328;0.9544193670371197;0.01477739651119408;0.639786045959556;0.002628410234696496;0.5512872034595098;0.013183869802443599;0.4909744272571891;0.004369951066052711;0.0764324426651001;0.005546146035453157
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.48315107540822266;0.002902154047702347;0.9426223044843562;0.014581291787002177;0.6387948564422627;0.0025929544867484616;0.554406118244011;0.015191102158090209;0.49508488987013755;0.005836537695508056;0.0852808952331543;0.006213975501146541
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.4875626845941407;0.003763911083597922;0.903185781457114;0.02157238053300301;0.633145100247222;0.003927201999873881;0.5569105500590308;0.01426153524159728;0.5043298891781912;0.00711575115039069;0.11661698818206787;0.004912077051679631
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.49747537524982954;0.0037947831666475763;0.8215053620931281;0.017349221211024137;0.6195880795837468;0.004120459082675038;0.5638289926647009;0.010123880855336987;0.5222491155540026;0.006023639437532679;0.17871923446655275;0.005696005327000132
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.5041593921883225;0.0045280535449510285;0.7275636014974234;0.023926634844446317;0.595391317329167;0.006976151792144335;0.5656886564591446;0.007760499739639378;0.5318450625717139;0.0060655622266063865;0.24242215156555175;0.006309127695896769
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.5118576365742881;0.004852777420129443;0.6300699798109857;0.03348318639252603;0.5643474730891433;0.011497999524546177;0.5669220411031559;0.007255347540160892;0.5398905578045593;0.005204352244869634;0.3000542640686035;0.012182849072016177
