Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_RBF_0.0001_scale_5_[384, 256, 128];0.49827114350692725;0.010355106612248368;0.9454814814814816;0.016177852394346968;0.6524185748647173;0.005947950804317251;0.6460727037037037;0.023881866986521946;0.522561403508772;0.018341045972751303;0.042972874641418454;0.0027335880248848363
SVDD_RBF_0.0005_scale_5_[384, 256, 128];0.4946750655717927;0.0076027210538215035;0.9594814814814814;0.011002182100562462;0.6527055672550718;0.005318591986060845;0.6475715802469135;0.020223259237704416;0.5162105263157896;0.014111022652362089;0.05297031402587891;0.004161511391653476
SVDD_RBF_0.001_scale_5_[384, 256, 128];0.49485286569044973;0.007905641639653896;0.9595925925925926;0.010474935791468633;0.6528864111539805;0.00566419434886572;0.6488527283950618;0.02063211445323303;0.5165263157894737;0.014661209427096708;0.05495274066925049;0.0038055275517309825
SVDD_RBF_0.005_scale_5_[384, 256, 128];0.4946417401070885;0.007819434751972432;0.9594074074074074;0.010508602524756541;0.6526602451435741;0.0055711930361403185;0.6486718518518518;0.020508712003846002;0.5161403508771929;0.014519915532145284;0.056244516372680665;0.0035881784305390693
SVDD_RBF_0.01_scale_5_[384, 256, 128];0.49467933626842936;0.007784315963873077;0.9595555555555555;0.010344942370427294;0.6527280855095116;0.005512707714844492;0.6486428641975308;0.0202515979805179;0.5162105263157895;0.01445409626154721;0.05672512054443359;0.0040214410312643814
SVDD_RBF_0.05_scale_5_[384, 256, 128];0.49811803006204025;0.006585227849847654;0.9513703703703704;0.01148393044372065;0.6537977607094357;0.004179167899922225;0.6518693209876543;0.012366916434380709;0.5226491228070176;0.011986308491727082;0.06553120613098144;0.004392546570971375
SVDD_RBF_0.1_scale_5_[384, 256, 128];0.5080802668399962;0.010852164875405022;0.9159629629629631;0.012922104921816162;0.653456978610372;0.007586218537722424;0.6476221234567902;0.020196830378054892;0.5395789473684212;0.018134988518234012;0.08440558910369873;0.0031846179369600584
SVDD_RBF_0.2_scale_5_[384, 256, 128];0.5306997715654269;0.016022124030183094;0.8330740740740741;0.017116601652378313;0.6481038107327535;0.011358410352436713;0.6503876543209877;0.024089452915625115;0.5711754385964911;0.021606892474410534;0.12953898906707764;0.0025710369673772443
SVDD_RBF_0.3_scale_5_[384, 256, 128];0.5535981920902139;0.018402459104413873;0.7502222222222222;0.026694018894104204;0.6367136494087295;0.0153021326823696;0.6562207037037038;0.02288884967900874;0.5944210526315789;0.021183191650337326;0.18866443634033203;0.012773292828528817
SVDD_RBF_0.4_scale_5_[384, 256, 128];0.5769611115475562;0.017389460040374838;0.6592592592592592;0.03470984964749111;0.6148394775285712;0.01814833426068425;0.6572457901234567;0.02009031396310821;0.6091754385964913;0.016818706333518892;0.2644566297531128;0.025649451050296434
SVDD_RBF_0.5_scale_5_[384, 256, 128];0.5999003070652066;0.024580588476005243;0.5645555555555556;0.042480060682107745;0.5803780340950819;0.02117425209571273;0.6583712098765433;0.021700839093514265;0.6142105263157894;0.01717059050262045;0.3144127607345581;0.026088483725380206
SVDD_RBF_0.6_scale_5_[384, 256, 128];0.6296350900001938;0.024356712171977307;0.45548148148148143;0.026444444444444444;0.5278437399434883;0.01777165141201025;0.6604523333333334;0.02320723275101781;0.6144912280701754;0.01295140905903071;0.35859088897705077;0.030474617971540444
SVDD_RBF_0.7_scale_5_[384, 256, 128];0.6663588243514024;0.029053728829465282;0.3429259259259259;0.027450141858756286;0.45189104699618754;0.024079040228993574;0.6648967160493827;0.024046102805035798;0.6068596491228069;0.011726715270317031;0.39216859340667726;0.009624258647452921
SVDD_RBF_0.8_scale_5_[384, 256, 128];0.7049928244197647;0.03364481785080226;0.2278888888888889;0.024299260207653068;0.343440201851796;0.0267606353897053;0.6660269259259259;0.02457600059336785;0.588578947368421;0.008590205363860078;0.43503308296203613;0.012294485055848204
SVDD_RBF_0.9_scale_5_[384, 256, 128];0.760637451422953;0.03817282360513467;0.11503703703703705;0.01779335737092616;0.19919390265904563;0.02660615152974428;0.6680056913580247;0.02426985251610804;0.5633859649122808;0.006398123185875001;0.4993756294250488;0.009223196630526021
SVDD_RBF_0.0001_auto_5_[384, 256, 128];0.0;0.0;0.0;0.0;0.0;0.0;0.6268815185185185;0.08953535485081346;0.5263157894736842;0.0;0.02087242603302002;0.0001432329473013595
SVDD_RBF_0.0005_auto_5_[384, 256, 128];0.7581163950959734;0.19455373485934863;0.16137037037037036;0.28247985955859123;0.1449448327181077;0.20790188969052845;0.5998643950617283;0.09006092782827663;0.5189473684210526;0.03042471497006243;0.02318720817565918;0.001086882455042491
SVDD_RBF_0.001_auto_5_[384, 256, 128];0.5116813158192007;0.03356534241421007;0.8106296296296296;0.10194609108233847;0.6222742641201771;0.024800415989432004;0.5969456172839506;0.05609522405380741;0.5366491228070176;0.04183792689424572;0.027222299575805665;0.0009282232763097637
SVDD_RBF_0.005_auto_5_[384, 256, 128];0.4867568900257012;0.008768331376142925;0.9767777777777777;0.012347339394519631;0.6496119618064014;0.005947850169924974;0.6382843950617284;0.04002536741552861;0.5006666666666667;0.01724853181577895;0.03589751720428467;0.0021891308344370143
SVDD_RBF_0.01_auto_5_[384, 256, 128];0.486587637991479;0.008421954613928034;0.9792222222222222;0.010725979639726367;0.6500169533522607;0.005756713118979501;0.6429554197530865;0.03816815560687836;0.5003157894736842;0.016609838481448563;0.039036893844604494;0.0030655762184525264
SVDD_RBF_0.05_auto_5_[384, 256, 128];0.49330807624454237;0.007554755097283893;0.9639259259259259;0.010448383811855099;0.6525412079066629;0.005403272654301632;0.6527597777777778;0.013435268157625541;0.5136140350877193;0.014216849362161648;0.05544462203979492;0.0036902002346807963
SVDD_RBF_0.1_auto_5_[384, 256, 128];0.505524508005227;0.0104298149693792;0.9281481481481482;0.01340515634878063;0.6543983564157629;0.007359389319448941;0.6481467530864198;0.021612054724960573;0.5354035087719298;0.01794622794819241;0.08353648185729981;0.0025588898824398048
SVDD_RBF_0.2_auto_5_[384, 256, 128];0.5281260993778194;0.015978281922889158;0.8423703703703703;0.01612553632629623;0.6489579657641266;0.011008468695496985;0.6485911111111111;0.025164398287048622;0.5679824561403508;0.021912589718720576;0.13102877140045166;0.004676920037418039
SVDD_RBF_0.3_auto_5_[384, 256, 128];0.5514368924381128;0.018297497534479196;0.7556666666666667;0.028506515030374262;0.6372199458375545;0.01599352847028038;0.654675037037037;0.023475176234554817;0.592421052631579;0.0213604398427076;0.18065309524536133;0.005088110560152212
SVDD_RBF_0.4_auto_5_[384, 256, 128];0.57441149402338;0.01791026624209576;0.6656666666666667;0.03699555083916179;0.6161619431906442;0.020154876775796818;0.6557901234567902;0.02048362846515012;0.6076491228070175;0.018104073128305313;0.22069964408874512;0.0036265020948470527
SVDD_RBF_0.5_auto_5_[384, 256, 128];0.5963659694697414;0.02371108244083265;0.5698518518518518;0.040340185793438135;0.5815853790314407;0.01942950791029887;0.6563492962962963;0.02188150719250968;0.6123859649122807;0.01674004162290144;0.2793924331665039;0.007196114906595026
SVDD_RBF_0.6_auto_5_[384, 256, 128];0.627075730721506;0.024240524605165462;0.4564444444444445;0.02856907495694859;0.5275345698805844;0.01930021955332047;0.658501061728395;0.02391504774251455;0.613298245614035;0.013307639139398496;0.33319735527038574;0.005511932041808196
SVDD_RBF_0.7_auto_5_[384, 256, 128];0.6619436896424795;0.028188786624721154;0.348;0.025381695228548013;0.45541659119195704;0.022566164582413877;0.6624722222222224;0.024864482345580245;0.6064912280701755;0.011903221111212151;0.3787777185440063;0.010436139870973787
SVDD_RBF_0.8_auto_5_[384, 256, 128];0.7006939284389102;0.03533770738874321;0.23077777777777775;0.0242514547807943;0.34620121259577497;0.02662218683634486;0.6639494814814816;0.025114051893474987;0.5883859649122807;0.009075043656048564;0.4171377420425415;0.012815828986323687
SVDD_RBF_0.9_auto_5_[384, 256, 128];0.7578943457531792;0.040195882817044656;0.11451851851851853;0.018344216747134334;0.19823544322734218;0.02733712703565231;0.6655978395061728;0.024497284309565166;0.5628771929824562;0.006346028972362727;0.47496130466461184;0.01155140152529166
SVDD_linear_0.0001_scale_5_[384, 256, 128];0.4870276372593173;0.009983373444776934;0.9777777777777779;0.011826361477172588;0.650052716831925;0.006727942890935795;0.6423006419753087;0.04121376309420565;0.5010526315789473;0.019321994955841415;0.02371957302093506;0.0010959412344260667
SVDD_linear_0.0005_scale_5_[384, 256, 128];0.4861638871178696;0.008326501954837782;0.9797407407407407;0.01077905045305059;0.6497523399539231;0.005578606542321359;0.642089074074074;0.03659847911114261;0.49947368421052624;0.016405713333423055;0.025401973724365236;0.0015023796742834484
SVDD_linear_0.001_scale_5_[384, 256, 128];0.48587620402698084;0.008122234933829643;0.9797407407407407;0.010431105219690383;0.6495010694809195;0.005462199317699025;0.6419697777777779;0.03574183056048841;0.49892982456140356;0.01602772490180234;0.02583267688751221;0.001819143331041311
SVDD_linear_0.005_scale_5_[384, 256, 128];0.4858463959151601;0.008017221916446644;0.9797407407407407;0.010537085855514078;0.6494748771541403;0.0053338516223788756;0.6420278148148149;0.035564745828985674;0.49887719298245614;0.015828256463607953;0.025885248184204103;0.0020236985881179966
SVDD_linear_0.01_scale_5_[384, 256, 128];0.48585727881661256;0.008054864373437732;0.9798148148148147;0.010365408866041865;0.6495012366344872;0.005369754413702637;0.6419472839506173;0.03546459108134463;0.49889473684210534;0.015893429712722208;0.02599167823791504;0.0025104869933017405
